Rank,Channel_info,Influence_score,Posts,Followers,Avg_liKes,60_day_eng_rate,new_post_avg_liKe,total_liKes,country,COUNTRY2,Avg likes 2,Follower 2,Posts 2,New posts Avg Likes,Total Likes 2
1,cristiano,92,3.3K,475.8M,8.7M,1.39%,6.5M,29.0B,Spain,SPAIN,8700000,475800000,3300,6500000,29000000000
2,kyliejenner,91,6.9K,366.2M,8.3M,1.62%,5.9M,57.4B,USA,USA,8300000,366200000,6900,5900000,57400000000
3,leomessi,90,0.89K,357.3M,6.8M,1.24%,4.4M,6.0B,Argentina,ARGENTINA,6800000,357300000,890,4400000,6000000000
4,selenagomez,93,1.8K,342.7M,6.2M,0.97%,3.3M,11.5B,USA,USA,6200000,342700000,1800,3300000,11500000000
5,therock,91,6.8K,334.1M,1.9M,0.20%,665.3K,12.5B,USA,USA,1900000,334100000,6800,665300,12500000000
6,kimkardashian,91,5.6K,329.2M,3.5M,0.88%,2.9M,19.9B,USA,USA,3500000,329200000,5600,2900000,19900000000
7,arianagrande,92,5.0K,327.7M,3.7M,1.20%,3.9M,18.4B,USA,USA,3700000,327700000,5000,3900000,18400000000
8,beyonce,92,2.0K,272.8M,3.6M,0.76%,2.0M,7.4B,USA,USA,3600000,272800000,2000,2000000,7400000000
9,khloekardashian,89,4.1K,268.3M,2.4M,0.35%,926.9K,9.8B,USA,USA,2400000,268300000,4100,926900,9800000000
10,justinbieber,91,7.4K,254.5M,1.9M,0.59%,1.5M,13.9B,Canada,CANADA,1900000,254500000,7400,1500000,13900000000
11,kendalljenner,90,0.66K,254.0M,5.5M,2.04%,5.1M,3.7B,USA,USA,5500000,254000000,660,5100000,3700000000
12,natgeo,91,10.0K,237.0M,302.2K,0.07%,159.3K,3.0B,USA,USA,302200,237000000,10000,159300,3000000000
13,nike,90,0.95K,234.1M,329.0K,0.08%,181.8K,313.6M,USA,USA,329000,234100000,950,181800,313600000
14,taylorswift,91,0.53K,222.2M,2.4M,1.01%,2.3M,1.3B,USA,USA,2400000,222200000,530,2300000,1300000000
15,jlo,89,3.2K,220.4M,1.7M,0.62%,1.4M,5.3B,USA,USA,1700000,220400000,3200,1400000,5300000000
16,virat.kohli,87,1.4K,211.8M,3.5M,0.96%,2.0M,4.9B,India,INDIA,3500000,211800000,1400,2000000,4900000000
17,nickiminaj,90,6.4K,201.6M,2.1M,0.53%,1.0M,13.5B,USA,USA,2100000,201600000,6400,1000000,13500000000
18,kourtneykardash,89,4.4K,195.2M,1.8M,0.67%,1.3M,7.7B,USA,USA,1800000,195200000,4400,1300000,7700000000
19,mileycyrus,89,1.2K,181.5M,1.3M,0.51%,913.6K,1.6B,USA,USA,1300000,181500000,1200,913600,1600000000
20,neymarjr,90,5.3K,177.1M,2.7M,1.09%,1.9M,14.1B,Brazil,BRAZIL,2700000,177100000,5300,1900000,14100000000
21,katyperry,92,2.0K,170.3M,715.0K,0.16%,265.1K,1.5B,USA,USA,715000,170300000,2000,265100,1500000000
22,kevinhart4real,88,8.2K,152.0M,522.0K,0.08%,115.2K,4.3B,USA,USA,522000,152000000,8200,115200,4300000000
23,zendaya,87,3.5K,150.7M,5.8M,3.17%,4.8M,20.6B,USA,USA,5800000,150700000,3500,4800000,20600000000
24,iamcardib,75,1.6K,140.5M,3.1M,1.10%,1.5M,5.0B,USA,USA,3100000,140500000,1600,1500000,5000000000
25,ddlovato,88,0.08K,139.1M,1.1M,0.27%,363.4K,91.3M,USA,USA,1100000,139100000,80,363400,91300000
26,badgalriri,88,4.8K,135.3M,3.7M,0.02%,0,17.9B,USA,USA,3700000,135300000,4800,0,17900000000
27,kingjames,86,2.3K,130.9M,2.1M,0.92%,1.2M,4.9B,USA,USA,2100000,130900000,2300,1200000,4900000000
28,theellenshow,87,10.0K,125.1M,420.5K,0.07%,81.7K,4.2B,USA,USA,420500,125100000,10000,81700,4200000000
29,realmadrid,90,6.9K,123.4M,996.2K,0.48%,588.3K,6.8B,Spain,SPAIN,996200,123400000,6900,588300,6800000000
30,champagnepapi,85,5.2K,119.6M,1.7M,1.10%,1.3M,9.0B,Netherlands,NETHERLANDS,1700000,119600000,5200,1300000,9000000000
31,chrisbrownofficial,86,7.3K,118.5M,463.2K,0.22%,255.9K,3.4B,USA,USA,463200,118500000,7300,255900,3400000000
32,fcbarcelona,90,10.0K,111.4M,1.2M,0.64%,706.3K,11.6B,Spain,SPAIN,1200000,111400000,10000,706300,11600000000
33,billieeilish,73,0.69K,105.2M,8.5M,5.02%,5.2M,5.9B,USA,USA,8500000,105200000,690,5200000,5900000000
34,dualipa,74,1.3K,85.9M,2.1M,1.26%,1.1M,2.6B,UK,UK,2100000,85900000,1300,1100000,2600000000
35,gal_gadot,85,1.7K,85.6M,1.4M,0.69%,586.5K,2.3B,USA,USA,1400000,85600000,1700,586500,2300000000
36,vindiesel,88,1.8K,82.3M,1.4M,0.60%,482.3K,2.5B,USA,USA,1400000,82300000,1800,482300,2500000000
37,nasa,88,3.6K,81.3M,1.2M,1.53%,1.2M,4.2B,USA,USA,1200000,81300000,3600,1200000,4200000000
38,priyankachopra,85,3.6K,81.1M,1.6M,1.00%,802.9K,5.6B,USA,USA,1600000,81100000,3600,802900,5600000000
